"college","dataSource","draftClass","image","name","nationality","ovr","position","realLifeRosterStatus","team","url"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/jacolby-george-15091-madden-photo.png","Jacolby George","United States","66","WR","free_agent","Free Agent","https://www.maddenratings.com/jacolby-george"
"Maryland","placeholder — no rating source found","2023","https://www.maddenratings.com/wp-content/uploads/jaelyn-duncan-22863-madden-photo.png","Jaelyn Duncan","United States","","","free_agent","Free Agent","https://www.maddenratings.com/jaelyn-duncan"
"BYU","placeholder — no rating source found","2017","https://www.maddenratings.com/wp-content/uploads/jamaal-williams.png","Jamaal Williams","United States","","","free_agent","Free Agent","https://www.maddenratings.com/jamaal-williams"
"","placeholder — no rating source found","2025","https://www.maddenratings.com/wp-content/uploads/james-burnip-4611-madden-photo.png","James Burnip","Australia","","","free_agent","Free Agent","https://www.maddenratings.com/james-burnip"
"N.C. State","Madden NFL 26 (backfilled)","2020","https://www.maddenratings.com/wp-content/uploads/james-smith-williams.png","James Smith-Williams","United States","71","DL","free_agent","Free Agent","https://www.maddenratings.com/james-smith-williams"
"Samford","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/james-bradberry-iv.png","James Bradberry IV","United States","","","free_agent","Free Agent","https://www.maddenratings.com/james-bradberry-iv"
"Duke","Madden NFL 26 (backfilled)","2015","https://www.maddenratings.com/wp-content/uploads/jamison-crowder.png","Jamison Crowder","United States","73","WR","free_agent","Free Agent","https://www.maddenratings.com/jamison-crowder"
"Baylor","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/jamycal-hasty.png","JaMycal Hasty","United States","70","RB","free_agent","Free Agent","https://www.maddenratings.com/jamycal-hasty"
"BYU","Madden NFL 26 (backfilled)","2023","https://www.maddenratings.com/wp-content/uploads/jaren-hall.png","Jaren Hall","United States","61","QB","free_agent","Free Agent","https://www.maddenratings.com/jaren-hall"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/jashaun-corbin-22319-madden-photo.png","Jashaun Corbin","United States","66","RB","free_agent","Free Agent","https://www.maddenratings.com/jashaun-corbin"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/jase-mcclellan.png","Jase McClellan","United States","67","RB","free_agent","Free Agent","https://www.maddenratings.com/jase-mcclellan"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/javon-baker-14668-madden-photo.png","Javon Baker","United States","69","WR","free_agent","Free Agent","https://www.maddenratings.com/javon-baker"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/jaylen-key-1173-madden-photo.png","Jaylen Key","United States","66","DB","free_agent","Free Agent","https://www.maddenratings.com/jaylen-key"
"Miami","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/javion-cohen-14724-madden-photo.png","Javion Cohen","United States","63","OL","free_agent","Free Agent","https://www.maddenratings.com/javion-cohen"
"Notre Dame","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/jaylon-smith-17544-madden-photo.png","Jaylon Smith","United States","67","LB","free_agent","Free Agent","https://www.maddenratings.com/jaylon-smith"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/jaxson-kirkland-22872-madden-photo.png","Jaxson Kirkland","United States","60","OL","free_agent","Free Agent","https://www.maddenratings.com/jaxson-kirkland"
"","Madden NFL 26 (backfilled)","2017","https://www.maddenratings.com/wp-content/uploads/jeremiah-ledbetter-12851-madden-photo.png","Jeremiah Ledbetter","United States","69","DL","free_agent","Free Agent","https://www.maddenratings.com/jeremiah-ledbetter"
"North Texas","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/jeff-wilson-jr.png","Jeff Wilson Jr","United States","","","free_agent","Free Agent","https://www.maddenratings.com/jeff-wilson-jr"
"Tennessee","Madden NFL 26 (backfilled)","2017","https://www.maddenratings.com/wp-content/uploads/cameron-sutton.png","Cameron Sutton","United States","74","DB","free_agent","Free Agent","https://www.maddenratings.com/cameron-sutton"
"Mississippi State","Madden NFL 26 (backfilled)","2023","https://www.maddenratings.com/wp-content/uploads/cameron-young.png","Cameron Young","United States","66","DL","free_agent","Free Agent","https://www.maddenratings.com/cameron-young"
"Iowa","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/carl-davis-2547-madden-photo.png","Carl Davis","United States","68","DL","free_agent","Free Agent","https://www.maddenratings.com/carl-davis"
"Auburn","Madden NFL 26 (backfilled)","2017","https://www.maddenratings.com/wp-content/uploads/carl-lawson.png","Carl Lawson","United States","76","DL","free_agent","Free Agent","https://www.maddenratings.com/carl-lawson"
"Wake Forest","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/boogie-basham-jr-21503-madden-photo.png","Carlos Basham Jr","United States","72","LB","free_agent","Free Agent","https://www.maddenratings.com/carlos-basham-jr"
"Stanford","Madden NFL 26 (backfilled)","2020","https://www.maddenratings.com/wp-content/uploads/casey-toohill-21252-madden-photo.png","Casey Toohill","United States","69","DL","free_agent","Free Agent","https://www.maddenratings.com/casey-toohill"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/Carter-ODonnell.png","Carter O&#8217;Donnell","Canada","","","free_agent","Free Agent","https://www.maddenratings.com/carter-odonnell"
"Clemson","placeholder — no rating source found","2017","https://www.maddenratings.com/wp-content/uploads/carlos-watkins-12599-madden-photo.png","Carlos Watkins","United States","","","free_agent","Free Agent","https://www.maddenratings.com/carlos-watkins"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/TK-McLendon-Jr.png","TK McLendon Jr","United States","","","free_agent","Free Agent","https://www.maddenratings.com/tk-mclendon-jr"
"Mid Tenn St.","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/chandler-brewer-20782-madden-photo.png","Chandler Brewer","United States","","","free_agent","Free Agent","https://www.maddenratings.com/chandler-brewer"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/chandler-wooten.png","Chandler Wooten","United States","","","free_agent","Free Agent","https://www.maddenratings.com/chandler-wooten"
"LSU","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/dj-chark-jr-13255-madden-photo.png","D.J. Chark Jr","United States","72","WR","free_agent","Free Agent","https://www.maddenratings.com/dj-chark-jr"
"Mid Tenn St.","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/darius-harris.png","Darius Harris","United States","66","LB","free_agent","Free Agent","https://www.maddenratings.com/darius-harris"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/DeShaan-Dixon.png","De&#8217;Shaan Dixon","United States","","","free_agent","Free Agent","https://www.maddenratings.com/deshaan-dixon"
"Oklahoma","Madden NFL 26 (backfilled)","2022","https://www.maddenratings.com/wp-content/uploads/delarrin-turner-yell-22452-madden-photo.png","Delarrin Turner-Yell","United States","65","DB","free_agent","Free Agent","https://www.maddenratings.com/delarrin-turner-yell"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/deantre-prince-1090-madden-photo.png","Deantre Prince","United States","68","DB","free_agent","Free Agent","https://www.maddenratings.com/deantre-prince"
"UCLA","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/demetric-felton-jr-21570-madden-photo.png","Demetric Felton","United States","72","RB","free_agent","Free Agent","https://www.maddenratings.com/demetric-felton"
"Florida State","placeholder — no rating source found","2017","https://www.maddenratings.com/wp-content/uploads/demarcus-walker.png","DeMarcus Walker","United States","","","free_agent","Free Agent","https://www.maddenratings.com/demarcus-walker"
"Buffalo","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/demone-harris.png","Demone Harris","United States","68","DL","free_agent","Free Agent","https://www.maddenratings.com/demone-harris"
"Assumption","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/deonte-harris.png","Deonte Harty","United States","67","WR","free_agent","Free Agent","https://www.maddenratings.com/deonte-harris"
"Oklahoma St.","Madden NFL 26 (backfilled)","2022","https://www.maddenratings.com/wp-content/uploads/devin-harper-22501-madden-photo.png","Devin Harper","United States","63","LB","free_agent","Free Agent","https://www.maddenratings.com/devin-harper"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/dez-fitzpatrick-21613-madden-photo.png","Dez Fitzpatrick","United States","65","WR","free_agent","Free Agent","https://www.maddenratings.com/dez-fitzpatrick"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/devin-leary-14619-madden-photo.png","Devin Leary","United States","58","QB","free_agent","Free Agent","https://www.maddenratings.com/devin-leary"
"Toledo","Madden NFL 26 (backfilled)","2019","https://www.maddenratings.com/wp-content/uploads/diontae-johnson-20653-madden-photo.png","Diontae Johnson","United States","76","WR","free_agent","Free Agent","https://www.maddenratings.com/diontae-johnson"
"Michigan","placeholder — no rating source found","2020","https://www.maddenratings.com/wp-content/uploads/donovan-peoples-jones-20934-madden-photo.png","Donovan Peoples-Jones","United States","","","free_agent","Free Agent","https://www.maddenratings.com/donovan-peoples-jones"
"UCF","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/Divaad-Wilson.png","Divaad Wilson","United States","63","DB","free_agent","Free Agent","https://www.maddenratings.com/divaad-wilson"
"UCLA","Madden NFL 26 (backfilled)","2023","https://www.maddenratings.com/wp-content/uploads/dorian-thompson-robinson-22727-madden-photo.png","Dorian Thompson-Robinson","United States","61","QB","free_agent","Free Agent","https://www.maddenratings.com/dorian-thompson-robinson"
"Illinois","Madden NFL 26 (backfilled)","2022","https://www.maddenratings.com/wp-content/uploads/doug-kramer-jr-22496-madden-photo.png","Doug Kramer","United States","63","OL","free_agent","Free Agent","https://www.maddenratings.com/doug-kramer"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/dominique-dafney-21444-madden-photo.png","Dominique Dafney","United States","61","TE","free_agent","Free Agent","https://www.maddenratings.com/dominique-dafney"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/elijah-dotson-23293-madden-photo.png","Elijah Dotson","United States","60","RB","free_agent","Free Agent","https://www.maddenratings.com/elijah-dotson"
"Kansas State","placeholder — no rating source found","2019","https://www.maddenratings.com/wp-content/uploads/duke-shelley-20752-madden-photo.png","Duke Shelley","United States","","","free_agent","Free Agent","https://www.maddenratings.com/duke-shelley"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/eli-ricks-23027-madden-photo.png","Eli Ricks","United States","65","DB","free_agent","Free Agent","https://www.maddenratings.com/eli-ricks"
"TCU","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/emani-bailey-14635-madden-photo.png","Emani Bailey","United States","63","RB","free_agent","Free Agent","https://www.maddenratings.com/emani-bailey"
"LSU","Madden NFL 26 (backfilled)","2017","https://www.maddenratings.com/wp-content/uploads/duke-riley.png","Duke Riley","United States","76","LB","free_agent","Free Agent","https://www.maddenratings.com/duke-riley"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/elijah-riley.png","Elijah Riley","United States","68","DB","free_agent","Free Agent","https://www.maddenratings.com/elijah-riley"
"Tennessee","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/emmanuel-moseley.png","Emmanuel Moseley","United States","67","DB","free_agent","Free Agent","https://www.maddenratings.com/emmanuel-moseley"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/eric-banks-21404-madden-photo.png","Eric Banks","United States","58","DL","free_agent","Free Agent","https://www.maddenratings.com/eric-banks"
"South Carolina","placeholder — no rating source found","2012","https://www.maddenratings.com/wp-content/uploads/stephon-gilmore.png","Stephon Gilmore","United States","","","free_agent","Free Agent","https://www.maddenratings.com/stephon-gilmore"
"Texas Tech","Madden NFL 26 (backfilled)","2022","https://www.maddenratings.com/wp-content/uploads/erik-ezukanma-22358-madden-photo.png","Erik Ezukanma","United States","65","WR","assigned","Philadelphia Eagles","https://www.maddenratings.com/erik-ezukanma"
"Rutgers","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/gus-edwards.png","Gus Edwards","Liberia","","","free_agent","Free Agent","https://www.maddenratings.com/gus-edwards"
"Texas","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/justin-tucker.png","Justin Tucker","United States","80","K","free_agent","Free Agent","https://www.maddenratings.com/justin-tucker"
"Tennessee","Madden NFL 26 (backfilled)","2013","https://www.maddenratings.com/wp-content/uploads/cordarrelle-patterson.png","Cordarrelle Patterson","United States","81","RB","free_agent","Free Agent","https://www.maddenratings.com/cordarrelle-patterson"
"Missouri W State","Madden NFL 26 (backfilled)","2012","https://www.maddenratings.com/wp-content/uploads/greg-zuerlein.png","Greg Zuerlein","United States","80","K","free_agent","Free Agent","https://www.maddenratings.com/greg-zuerlein"
"Wyoming","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/tashaun-gipson-sr.png","Tashaun Gipson Sr","United States","","","free_agent","Free Agent","https://www.maddenratings.com/tashaun-gipson-sr"
"Penn State","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/allen-robinson-ii.png","Allen Robinson II","United States","75","WR","free_agent","Free Agent","https://www.maddenratings.com/allen-robinson-ii"
"TCU","Madden NFL 26 (backfilled)","2010","https://www.maddenratings.com/wp-content/uploads/jerry-hughes.png","Jerry Hughes","United States","81","DL","free_agent","Free Agent","https://www.maddenratings.com/jerry-hughes"
"UAB","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/chris-hubbard.png","Chris Hubbard","United States","","","free_agent","Free Agent","https://www.maddenratings.com/chris-hubbard"
"Tennessee","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/michael-palardy.png","Michael Palardy","United States","75","P","free_agent","Free Agent","https://www.maddenratings.com/michael-palardy"
"Utah State","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/patrick-scales.png","Patrick Scales","United States","80","LS","free_agent","Free Agent","https://www.maddenratings.com/patrick-scales"
"Florida State","Madden NFL 26 (backfilled)","2013","https://www.maddenratings.com/wp-content/uploads/dustin-hopkins-11941-madden-photo.png","Dustin Hopkins","United States","71","K","free_agent","Free Agent","https://www.maddenratings.com/dustin-hopkins"
"","placeholder — no rating source found","2025","https://www.maddenratings.com/wp-content/uploads/maddux-trujillo-4879326-madden-photo.png","Maddux Trujillo","United States","","","free_agent","Free Agent","https://www.maddenratings.com/maddux-trujillo"
"East Carolina","Madden NFL 26 (backfilled)","2010","https://www.maddenratings.com/wp-content/uploads/linval-joseph.png","Linval Joseph","United States","79","DL","free_agent","Free Agent","https://www.maddenratings.com/linval-joseph"
"Memphis","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/blake-watson-4361604-madden-photo.png","Blake Watson","United States","66","RB","free_agent","Free Agent","https://www.maddenratings.com/blake-watson"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/isaac-ukwu-4249608-madden-photo.png","Isaac Ukwu","United States","66","DL","free_agent","Free Agent","https://www.maddenratings.com/isaac-ukwu"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/dymere-miller-4775266-madden-photo.png","Dymere Miller","United States","66","WR","free_agent","Free Agent","https://www.maddenratings.com/dymere-miller"
"Tennessee","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/ramel-keyton-4426399-madden-photo.png","Ramel Keyton","United States","","","free_agent","Free Agent","https://www.maddenratings.com/ramel-keyton"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/elijah-cooks-4241588-madden-photo.png","Elijah Cooks","United States","65","WR","assigned","Carolina Panthers","https://www.maddenratings.com/elijah-cooks"
"","placeholder — no rating source found","2025","https://www.maddenratings.com/wp-content/uploads/jaquinden-jackson-4690972-madden-photo.png","Ja&#8217;Quinden Jackson","United States","","","free_agent","Free Agent","https://www.maddenratings.com/jaquinden-jackson"
"William Mary","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/bill-murray-3912189-madden-photo.png","Bill Murray","United States","64","OL","assigned","Los Angeles Rams","https://www.maddenratings.com/bill-murray"
"Toledo","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/dyontae-johnson-4362280-madden-photo.png","Dyontae Johnson","United States","65","LB","free_agent","Free Agent","https://www.maddenratings.com/dyontae-johnson"
"Tennessee","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/dee-williams-5081362-madden-photo.png","Dee Williams","United States","65","DB","free_agent","Free Agent","https://www.maddenratings.com/dee-williams"
"Montana","placeholder — no rating source found","2025","https://www.maddenratings.com/wp-content/uploads/junior-bergen-4887918-madden-photo.png","Junior Bergen","United States","","","assigned","San Francisco 49ers","https://www.maddenratings.com/junior-bergen"
"Tennessee","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/gabe-jeudy-lally-4567529-madden-photo.png","Gabe Jeudy-Lally","United States","","","free_agent","Free Agent","https://www.maddenratings.com/gabe-jeudy-lally"
"Michigan St.","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/jacoby-windmon-4428909-madden-photo.png","Jacoby Windmon","United States","64","LB","assigned","Pittsburgh Steelers","https://www.maddenratings.com/jacoby-windmon"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/pokey-wilson-4240033-madden-photo.png","Pokey Wilson","United States","64","WR","free_agent","Free Agent","https://www.maddenratings.com/pokey-wilson"
"Oregon","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/casey-rogers-4361189-madden-photo.png","Casey Rogers","United States","64","DL","assigned","New England Patriots","https://www.maddenratings.com/casey-rogers"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/fabien-lovett-sr-4362905-madden-photo.png","Fabien Lovett Sr","United States","64","DL","free_agent","Free Agent","https://www.maddenratings.com/fabien-lovett-sr"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/bj-adams-4685826-madden-photo.png","BJ Adams","United States","63","DB","free_agent","Free Agent","https://www.maddenratings.com/bj-adams"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/cam-riley-4431360-madden-photo.png","Cam Riley","United States","63","LB","free_agent","Free Agent","https://www.maddenratings.com/cam-riley"
"Colorado St.","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/dallin-holker-4373634-madden-photo.png","Dallin Holker","United States","","","free_agent","Free Agent","https://www.maddenratings.com/dallin-holker"
"UCLA","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/grayson-murphy-4428077-madden-photo.png","Grayson Murphy","United States","66","LB","free_agent","Free Agent","https://www.maddenratings.com/grayson-murphy"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/tysheem-johnson-4431405-madden-photo.png","Tysheem Johnson","United States","63","DB","free_agent","Free Agent","https://www.maddenratings.com/tysheem-johnson"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/cam-camper-5081322-madden-photo.png","Cam Camper","United States","63","WR","assigned","New York Jets","https://www.maddenratings.com/cam-camper"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/eugene-asante-4427532-madden-photo.png","Eugene Asante","United States","63","LB","free_agent","Free Agent","https://www.maddenratings.com/eugene-asante"
"","placeholder — no rating source found","2025","https://www.maddenratings.com/wp-content/uploads/Jailin-Walker.png","Jailin Walker","United States","","","free_agent","Free Agent","https://www.maddenratings.com/jailin-walker"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/jahmal-banks-4571935-madden-photo.png","Jahmal Banks","United States","63","WR","free_agent","Free Agent","https://www.maddenratings.com/jahmal-banks"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/matt-jones-4571882-madden-photo.png","Matt Jones","United States","63","LB","free_agent","Free Agent","https://www.maddenratings.com/matt-jones"
"","placeholder — no rating source found","2025","https://www.maddenratings.com/wp-content/uploads/silas-bolden-4590532-madden-photo.png","Silas Bolden","United States","","","free_agent","Free Agent","https://www.maddenratings.com/silas-bolden"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/john-humphrey-4565811-madden-photo.png","John Humphrey","United States","63","DB","free_agent","Free Agent","https://www.maddenratings.com/john-humphrey"
"","placeholder — no rating source found","2025","https://www.maddenratings.com/wp-content/uploads/jamon-dumas-johnson-4569680-madden-photo.png","Jamon Dumas-Johnson","United States","","","free_agent","Free Agent","https://www.maddenratings.com/jamon-dumas-johnson"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/Shilo-Sanders.png","Shilo Sanders","United States","63","DB","free_agent","Free Agent","https://www.maddenratings.com/shilo-sanders"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/reid-holskey-4429951-madden-photo.png","Reid Holskey","United States","62","OL","assigned","Denver Broncos","https://www.maddenratings.com/reid-holskey"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/jack-conley-4426955-madden-photo.png","Jack Conley","United States","62","OL","free_agent","Free Agent","https://www.maddenratings.com/jack-conley"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/nash-jones-4688371-madden-photo.png","Nash Jones","United States","62","OL","free_agent","Free Agent","https://www.maddenratings.com/nash-jones"
"Eastern Michigan","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/thomas-odukoya-4363554-madden-photo.png","Thomas Odukoya","Netherlands","","","free_agent","Free Agent","https://www.maddenratings.com/thomas-odukoya"
"Toledo","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/dallas-gant-4361348-madden-photo.png","Dallas Gant","United States","62","LB","free_agent","Free Agent","https://www.maddenratings.com/dallas-gant"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/dartanyan-tinsley-4585283-madden-photo.png","Dartanyan Tinsley","United States","62","OL","free_agent","Free Agent","https://www.maddenratings.com/dartanyan-tinsley"
"Montana State","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/tommy-mellott-4775196-madden-photo.png","Tommy Mellott","United States","62","WR","free_agent","Free Agent","https://www.maddenratings.com/tommy-mellott"
"","placeholder — no rating source found","2025","https://www.maddenratings.com/wp-content/uploads/blayne-taylor-5083552-madden-photo.png","Blayne Taylor","United States","","","free_agent","Free Agent","https://www.maddenratings.com/blayne-taylor"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/mike-reid-4775268-madden-photo.png","Mike Reid","United States","","","free_agent","Free Agent","https://www.maddenratings.com/mike-reid"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/glendon-miller-4692807-madden-photo.png","Glendon Miller","United States","62","DB","free_agent","Free Agent","https://www.maddenratings.com/glendon-miller"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/raymond-johnson-iii-4241135-madden-photo.png","Raymond Johnson III","United States","","","free_agent","Free Agent","https://www.maddenratings.com/raymond-johnson-iii"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/desmond-watson-4431607-madden-photo.png","Desmond Watson","United States","62","DL","free_agent","Free Agent","https://www.maddenratings.com/desmond-watson"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/jordan-oladokun-4601079-madden-photo.png","Jordan Oladokun","United States","61","DB","free_agent","Free Agent","https://www.maddenratings.com/jordan-oladokun"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/addison-west-4428823-madden-photo.png","Addison West","United States","61","OL","free_agent","Free Agent","https://www.maddenratings.com/addison-west"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/quentin-skinner-4613050-madden-photo.png","Quentin Skinner","United States","61","WR","assigned","Buffalo Bills","https://www.maddenratings.com/quentin-skinner"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/jarrod-hufford-4429871-madden-photo.png","Jarrod Hufford","United States","61","OL","free_agent","Free Agent","https://www.maddenratings.com/jarrod-hufford"
"Furman","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/jake-johanning-4572827-madden-photo.png","Jake Johanning","United States","","","free_agent","Free Agent","https://www.maddenratings.com/jake-johanning"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/sal-wormley-4428935-madden-photo.png","Sal Wormley","United States","60","OL","free_agent","Free Agent","https://www.maddenratings.com/sal-wormley"
"","placeholder — no rating source found","2025","https://www.maddenratings.com/wp-content/uploads/trey-wedig-4430812-madden-photo.png","Trey Wedig","United States","","","free_agent","Free Agent","https://www.maddenratings.com/trey-wedig"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/desmond-igbinosun-4683464-madden-photo.png","Desmond Igbinosun","United States","60","DB","free_agent","Free Agent","https://www.maddenratings.com/desmond-igbinosun"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/jason-ivey-4882116-madden-photo.png","Jason Ivey","United States","60","OL","free_agent","Free Agent","https://www.maddenratings.com/jason-ivey"
"","placeholder — no rating source found","2025","https://www.maddenratings.com/wp-content/uploads/ben-dooley-4429538-madden-photo.png","Ben Dooley","United States","","","free_agent","Free Agent","https://www.maddenratings.com/ben-dooley"
"","placeholder — no rating source found","2025","https://www.maddenratings.com/wp-content/uploads/Ozzie-Hutchinson.png","Ozzie Hutchinson","United States","","","free_agent","Free Agent","https://www.maddenratings.com/ozzie-hutchinson"
"Fresno State","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/morice-norris-4880777-madden-photo.png","Morice Norris","United States","","","free_agent","Free Agent","https://www.maddenratings.com/morice-norris"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/gus-hartwig-4432237-madden-photo.png","Gus Hartwig","United States","60","OL","free_agent","Free Agent","https://www.maddenratings.com/gus-hartwig"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/ben-wooldridge-4373895-madden-photo.png","Ben Wooldridge","United States","57","QB","free_agent","Free Agent","https://www.maddenratings.com/ben-wooldridge"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/stevo-klotz-4686438-madden-photo.png","Stevo Klotz","United States","58","TE","free_agent","Free Agent","https://www.maddenratings.com/stevo-klotz"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/bump-cooper-jr-5085881-madden-photo.png","Bump Cooper Jr","United States","","","free_agent","Free Agent","https://www.maddenratings.com/bump-cooper-jr"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/emory-jones-4360230-madden-photo.png","Emory Jones","United States","51","QB","free_agent","Free Agent","https://www.maddenratings.com/emory-jones"
"","Madden NFL 26 (backfilled)","","","Tyre Phillips","","66","OL","free_agent","Free Agent","https://www.maddenratings.com/tyre-phillips"
"","placeholder — no rating source found","","","Odell Beckham Jr","","","","free_agent","Free Agent","https://www.maddenratings.com/odell-beckham-jr"
"","Madden NFL 26 (backfilled)","","","Danny Gray","","69","WR","free_agent","Free Agent","https://www.maddenratings.com/danny-gray"
